sql_prompt,sql
change obesity rate city united state 2015 2020,"SELECT city, (obesity_rate_2020 - obesity_rate_2015) AS obesity_change FROM (SELECT city, obesity_rate AS obesity_rate_2015, LEAD(obesity_rate, 5) OVER (PARTITION BY city ORDER BY year) AS obesity_rate_2020 FROM obesity_usa) WHERE obesity_rate_2020 IS NOT NULL;"
average pollution level arctic region pollution schema,SELECT AVG(pollution_level) FROM Pollution.PollutionData WHERE region = 'Arctic';
total cost rural infrastructure project indigenous community,SELECT SUM(cost) FROM rural_infrastructure WHERE community_type = 'Indigenous';
list virtual tour indonesia launched 20210601,SELECT tour_name FROM virtual_tour_launches WHERE launch_date > '2021-06-01' AND tour_name LIKE '%Indonesia%';
many digital divide project led woman technology social good domain,SELECT COUNT(*) FROM Projects WHERE LeaderGender = 'Female' AND Domain = 'Social Good';
top 5 common type security incident department,"SELECT incident_type, COUNT(*) as num_incidents FROM security_incidents WHERE department = 'IT' GROUP BY incident_type ORDER BY num_incidents DESC LIMIT 5;"
many total donation made education program,SELECT SUM(d.amount) as total_donations FROM donation d WHERE d.program_id = 1;
many community development project completed southernregion 2019,SELECT COUNT(*) FROM community_projects WHERE completion_year = 2019 AND location = 'southern_region';
find number employee changed department 2020,SELECT COUNT(DISTINCT employee_id) FROM department_changes WHERE YEAR(change_date) = 2020 GROUP BY employee_id HAVING COUNT(DISTINCT employee_id) > 1;
name cultural site id 4 culturalsites table,SELECT name FROM cultural_sites WHERE site_id = 4;
total duration spacewalks nasa astronaut,"SELECT space_agency, SUM(DATEDIFF(minute, start_time, end_time))/60.0 FROM Spacewalks WHERE space_agency = 'NASA' GROUP BY space_agency;"
list unique security incident type resolved last month excluding incident resolved using specific mitigation strategy eg patching,"SELECT DISTINCT incident_type FROM incident_resolutions WHERE resolved = TRUE AND resolved_date >= DATEADD(month, -1, GETDATE()) AND resolution_strategy != 'Patching';"
marine specie part initiative dolphin specie marinespecies pollutioncontrol table,SELECT ms.species_name FROM marine_species ms JOIN pollution_control pc ON ms.species_name = pc.species_name WHERE pc.species_name = 'dolphin';
total number virtual tour view hotel miami,SELECT SUM(vt.num_views) FROM virtual_tours vt INNER JOIN hotel_info hi ON vt.hotel_id = hi.hotel_id WHERE hi.city = 'Miami';
average admission price historical site edinburgh,SELECT AVG(admission_price) FROM historical_sites WHERE city = 'Edinburgh';
many pediatric healthcare facility available total,SELECT type FROM hospitals WHERE type = 'Pediatric' UNION SELECT type FROM clinics WHERE type = 'Pediatric';
many tuberculosis case reported new york city past year,SELECT COUNT(*) FROM tb_tracking WHERE city = 'New York City' AND date BETWEEN (CURRENT_DATE - INTERVAL '1 year') AND CURRENT_DATE;
total number vulnerability vulnerability table asiapacific region,SELECT COUNT(*) FROM schema1.vulnerabilities WHERE region = 'Asia-Pacific';
list space mission led astronaut india,SELECT mission_name FROM SpaceMissions WHERE leader_nationality = 'India';
total number high severity vulnerability product family past year,"SELECT product_family, SUM(CASE WHEN severity >= 7 THEN 1 ELSE 0 END) as high_severity_count FROM vulnerabilities WHERE vulnerability_date >= DATEADD(year, -1, GETDATE()) GROUP BY product_family;"
average launch delay satellite deployment past 3 year,"SELECT AVG(launch_delay) FROM satellite_deployments WHERE launch_date >= DATEADD(year, -3, CURRENT_DATE);"
total number assist made player bundesliga soccer game excluding player le 10 game played,SELECT SUM(Assists) FROM Bundesliga_Teams WHERE Assists > (SELECT AVG(Assists) FROM Bundesliga_Teams) GROUP BY Assists HAVING COUNT(*) >= 10;
number hotel adopted ai mumbai,SELECT COUNT(*) FROM ai_adoption WHERE city = 'Mumbai' AND ai_adopted = 1;
identify number virtual tour engaged user india 2021 grouped month engagement,"SELECT MONTH(vt.tour_date) AS month, COUNT(uti.user_id) AS num_interactions FROM users u INNER JOIN user_tour_interactions uti ON u.user_id = uti.user_id INNER JOIN virtual_tours vt ON uti.tour_id = vt.tour_id WHERE u.user_country = 'India' AND YEAR(vt.tour_date) = 2021 GROUP BY month;"
many marine specie listed endangered category,SELECT COUNT(*) FROM marine_species WHERE conservation_status = 'endangered';
average flight time spaceairlines last year,"SELECT AVG(flight_time) FROM flights WHERE airline = 'SpaceAirlines' AND flight_date >= DATEADD(year, -1, CURRENT_DATE);"
many whale shark marinelifepopulations table,SELECT population FROM marine_life_populations WHERE species = 'Whale Shark';
total number win new york yankee,SELECT SUM(home_team_wins) + SUM(away_team_wins) FROM games WHERE home_team_id = (SELECT id FROM teams WHERE name = 'New York Yankees' AND city = 'New York') OR away_team_id = (SELECT id FROM teams WHERE name = 'New York Yankees' AND city = 'New York');
total number accessible technology initiative africa asia,"SELECT SUM(accessibility_score) FROM accessible_tech_initiatives WHERE location IN ('Africa', 'Asia');"
find number game soccer team played last 3 month,"SELECT team_id, COUNT(*) as games_played FROM games WHERE game_date >= DATE_SUB(CURDATE(), INTERVAL 3 MONTH) GROUP BY team_id;"
many volunteer registered per month 2022,"SELECT DATE_TRUNC('month', VolunteerDate) as Month, COUNT(*) as Volunteers FROM Volunteers WHERE VolunteerDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY Month;"
policy compliance rate top 3 populous country world,"SELECT country, AVG(compliance_percentage) AS avg_compliance_rate FROM policy_compliance WHERE country IN ('China', 'India', 'USA') GROUP BY country ORDER BY avg_compliance_rate DESC LIMIT 3;"
name agricultural innovation project amazona state,SELECT name FROM agricultural_projects WHERE state = 'Amazonas';
many accessible technology patent granted bipoc innovator h2 2021,SELECT SUM(Patent) FROM AccessibleTechPatents WHERE Half = 2 AND Innovator LIKE 'BIPOC%';
total number virtual tourism experience india added database last 6 month,SELECT COUNT(*) FROM virt_exp WHERE country = 'India' AND added_date >= '2022-01-01';
winloss ratio athlete ufc 10 fight,"SELECT athlete, wins/(wins+losses) as win_loss_ratio FROM ufc_fights WHERE wins + losses >= 10;"
many policy issued per month last 12 month,"SELECT DATE_FORMAT(IssueDate, '%Y-%m') AS Month, COUNT(PolicyID) AS PoliciesIssued FROM Policies WHERE IssueDate >= DATE_SUB(CURRENT_DATE, INTERVAL 12 MONTH) GROUP BY Month"
total amount donated individual donor united state canada q1 2021,"SELECT SUM(donation_amount) FROM donors WHERE country IN ('USA', 'Canada') AND donation_date BETWEEN '2021-01-01' AND '2021-03-31';"
total number techbased social impact project implemented subsaharan africa southeast asia,"SELECT SUM(tech_based) FROM SocialImpactProjects WHERE region IN ('Sub-Saharan Africa', 'Southeast Asia');"
second deepest trench indian plate,"SELECT trench_name, avg_depth FROM (SELECT trench_name, avg_depth, ROW_NUMBER() OVER (ORDER BY avg_depth DESC) AS rn FROM Indian_Plate) AS subquery WHERE rn = 2;"
total number system low severity vulnerability,SELECT COUNT(*) FROM Systems WHERE vulnerability_id IN (SELECT id FROM Vulnerabilities WHERE severity = 'Low');
average duration training program capacity greater 30,SELECT AVG(duration) FROM Training_Programs WHERE capacity > 30;
list claim id amount claim processed last month,"SELECT claim_id, claim_amount FROM claims WHERE claim_date >= DATEADD(month, -1, GETDATE());"
total revenue generated otas france hotel 3star rating lower,SELECT SUM(otas_revenue) FROM otas JOIN hotels ON otas.hotel_id = hotels.hotel_id WHERE hotels.country = 'France' AND hotels.stars <= 3;
find number unresolved security incident african region,SELECT COUNT(*) FROM security_incidents WHERE region = 'Africa' AND resolved = FALSE;
maximum number vulnerability found single system last year,"SELECT MAX(vulnerabilities) as max_vulnerabilities FROM VulnerabilityAssessments WHERE assessment_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 1 YEAR);"
maximum number daily visitor cultural heritage site brazil,SELECT MAX(daily_visitors) FROM cultural_heritage_sites WHERE country = 'Brazil';
top 5 donor african rural development based total donated amount,"SELECT donors.name, SUM(donors.donated_amount) FROM donors WHERE donors.region = 'Africa' GROUP BY donors.name ORDER BY SUM(donors.donated_amount) DESC LIMIT 5;"
list name donor donated specific year based donation donor table,SELECT donors.name FROM donors INNER JOIN donations ON donors.id = donations.donor_id WHERE YEAR(donations.donation_date) = 2021 GROUP BY donors.name;
many volunteer joined month 2023,"SELECT EXTRACT(MONTH FROM registration_date) as month, COUNT(DISTINCT name) as volunteers_joined FROM volunteer_registration WHERE registration_date BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY month;"
many social good technology project completed q1 q2 q3 q4 2021 categorized project status,"SELECT Social_Good_Tech_Quarters.quarter, Social_Good_Tech_Quarters.status, SUM(Social_Good_Tech_Quarters.projects) FROM Social_Good_Tech_Quarters WHERE Social_Good_Tech_Quarters.quarter IN ('Q1', 'Q2', 'Q3', 'Q4') GROUP BY Social_Good_Tech_Quarters.quarter, Social_Good_Tech_Quarters.status;"
list top 3 cultural heritage site tokyo visitor count,"SELECT name, visitors FROM cultural_sites WHERE city = 'Tokyo' ORDER BY visitors DESC LIMIT 3;"
basketball player scored point career,"SELECT name, points FROM players WHERE sport = 'Basketball' ORDER BY points DESC;"
show top 3 digital divide issue number reported case africa,"SELECT issue, cases FROM digital_divide WHERE country = 'NG' OR country = 'EG' OR country = 'ZA' OR country = 'ET' OR country = 'GH' GROUP BY issue ORDER BY SUM(cases) DESC LIMIT 3;"
maximum budget u dollar rural infrastructure project india completed 2018,SELECT MAX(budget_usd) FROM rural_infrastructure_projects WHERE country = 'India' AND completion_date <= '2018-12-31';
display name ocean marine specie index greater 50 respective pollution table,"SELECT species, ocean FROM (SELECT 'Atlantic' as ocean, species, index FROM pollution_atlantic WHERE index > 50 UNION SELECT 'Pacific' as ocean, species, index FROM pollution_pacific WHERE index > 50) as combined_pollution WHERE index > 50;"
total flight time astronaut nasa,"SELECT agency, SUM(flight_hours) as total_flight_hours FROM Astronauts WHERE agency = 'NASA' GROUP BY agency;"
total number marine protected area pacific region total area,"SELECT SUM(area) as total_area, region FROM marine_protected_areas JOIN areas_of_marine_protected_areas ON marine_protected_areas.id = areas_of_marine_protected_areas.marine_protected_area_id WHERE region = 'Pacific' GROUP BY region;"
total home run hit baseball player current year,"SELECT player, SUM(home_runs) AS total_home_runs FROM home_runs WHERE year = YEAR(GETDATE()) GROUP BY player"
many rural infrastructure project mexico completed last 5 year,SELECT COUNT(*) FROM projects WHERE country = 'Mexico' AND completion_date >= DATE('2016-01-01');
many rural infrastructure project completed nigeria 2020,SELECT COUNT(*) FROM RuralInfrastructureProjects WHERE country = 'Nigeria' AND YEAR(end_date) < 2020;
number tuberculosis case asia country,"SELECT Country, Number_Cases FROM Tuberculosis WHERE Continent = 'Asia';"
total revenue generated ecofriendly hotel paris,SELECT SUM(revenue) FROM hotels WHERE sustainable = true AND city = 'Paris';
total revenue hotel middle east offer virtual tour,SELECT SUM(revenue) FROM hotel_virtual_tours_middle_east WHERE has_virtual_tour = true AND country = 'Middle East';
name rating ecofriendly hotel germany,"SELECT hotel_name, rating FROM hotel_info WHERE country = 'Germany';"
many agricultural innovation introduced 2021 2022,SELECT COUNT(*) FROM agri_innovations WHERE introduction_year BETWEEN 2021 AND 2022;
obesity rate gender texas 2019,"SELECT gender, AVG(obese::INT) as obesity_rate FROM health_survey_3 WHERE state = 'Texas' AND year = 2019 GROUP BY gender;"
average depth ocean floor mapping project pacific region maximum depth greater 6000 meter,SELECT AVG(depth) FROM ocean_floor_mapping WHERE region = 'Pacific' HAVING MAX(depth) > 6000;
maximum ocean acidification level recorded arctic ocean,SELECT MAX(level) FROM ocean_acidification WHERE location = 'Arctic Ocean';
launch date space mission duration greater 500 day,"SELECT name, start_date FROM space_missions WHERE DATEDIFF(end_date, start_date) > 500;"
show top 3 state highest number tuberculosis case 2019,"SELECT State, SUM(Cases) FROM TBStats WHERE Year = 2019 GROUP BY State ORDER BY SUM(Cases) DESC LIMIT 3;"
total number threat indicator type added last month,"SELECT type, COUNT(indicator_id) as total_indicators FROM ThreatIntel WHERE timestamp BETWEEN DATE_SUB(CURRENT_TIMESTAMP, INTERVAL 1 MONTH) AND CURRENT_TIMESTAMP GROUP BY type;"
list unesco world heritage site africa,SELECT site_name FROM world_heritage_sites WHERE location = 'Africa';
number patient flu shot county california percentage patient flu shot county,"SELECT patients.county, COUNT(DISTINCT patients.id) AS total_patients, SUM(CASE WHEN flu_shots.id IS NOT NULL THEN 1 ELSE 0 END) AS flu_shots, ROUND(100.0 * SUM(CASE WHEN flu_shots.id IS NOT NULL THEN 1 ELSE 0 END) / COUNT(DISTINCT patients.id), 2) AS flu_shot_percentage FROM patients LEFT JOIN flu_shots ON patients.id = flu_shots.patient_id WHERE patients.county IS NOT NULL GROUP BY patients.county ORDER BY total_patients DESC;"
